CounGen,Game,Total Follower,Broadcast Hours,TotBroad,Cluster
ID Female,Counter-Strike: Global Offensive,7074.0,165,42.872727272727275,Low
ID Female,Dead by Daylight,10783.0,102,105.7156862745098,Low
ID Female,Euro Truck Simulator 2,13141.0,131,100.31297709923665,Low
ID Female,Free Fire - Battlegrounds,1015381.0,1192,851.8296979865772,Low
ID Female,Grand Theft Auto V,22492.0,343,65.57434402332362,Low
ID Female,MLBB,899591.0,2106,427.156220322887,Low
ID Female,PUBG,1998664.0,1729,1155.9652978600348,Low
ID Female,Sea of Thieves,23468.0,244,96.18032786885246,Low
ID Female,Township Mobile,6780.0,87,77.93103448275862,Low
ID Female,Worms Zone,101807.0,261,390.06513409961684,Low
ID Male,8 Ball Pool,8258.0,270,30.585185185185185,Low
ID Male,Apex Legends,3148.0,92,34.21739130434783,Low
ID Male,Assassin's Creed Odyssey,44641.0,144,310.00694444444446,Low
ID Male,Audition Online,8366.0,113,74.03539823008849,Low
ID Male,Call of Duty: Mobile,75359.0,147,512.6462585034013,Low
ID Male,Days Gone,195432.0,232,842.3793103448276,Low
ID Male,Dead by Daylight,245145.0,716,342.38128491620114,Low
ID Male,Dota 2,123624.0,85,1454.4,Low
ID Male,EA Sports UFC 3,7359.0,100,73.59,Low
ID Male,Euro Truck Simulator 2,143654.0,737,194.91723202170962,Low
ID Male,Free Fire - Battlegrounds,2167570.0,2835,764.5749559082892,Low
ID Male,God of War,76349.0,114,669.7280701754386,Low
ID Male,Grand Theft Auto V,124211.0,1179,105.35284139100933,Low
ID Male,MLBB,2253078.0,5534,407.13371882905676,Low
ID Male,Moon of Madness,92883.0,85,1092.7411764705882,Low
ID Male,MotoGP,12302.0,181,67.96685082872928,Low
ID Male,Naruto Shippuden: Ultimate Ninja Storm 4,14684.0,198,74.16161616161617,Low
ID Male,No MLBB Video,17892.0,156,114.6923076923077,Low
ID Male,PUBG,1790355.0,7189,249.0408958130477,Low
ID Male,Persona 5 Royal,8159.0,106,76.97169811320755,Low
ID Male,Point Blank Indonesia,26768.0,158,169.41772151898735,Low
ID Male,Sea of Thieves,34474.0,245,140.71020408163264,Low
ID Male,Star Wars Jedi: Fallen Order,26011.0,118,220.4322033898305,Low
ID Male,The Warriors,25175.0,100,251.75,Low
ID Male,Valorant,5417.0,87,62.264367816091955,Low
ID Male,Wormate.io,25523.0,387,65.95090439276485,Low
ID Male,Worms Zone,19702.0,188,104.79787234042553,Low
ID Male,Yakuza: Kiwami 2,14588.0,86,169.62790697674419,Low
